amenities,descripcion,nombre,precio
"Free parking,Pool,Sauna,Bar / lounge,Diving,Table tennis,Children Activities (Kid / Family Friendly),Kids club,Street parking,Outdoor pool,Restaurant,Breakfast buffet,Snack bar,Swimup bar,Poolside bar,Airport transportation,Car hire,Baggage storage,Sun umbrellas,24-hour front desk,Dry cleaning,Laundry service,Air conditioning,Desk,Housekeeping,Safe,Refrigerator,Flatscreen TV,Bath / shower,Hair dryer,Telephone,Wake-up service / alarm clock,Non-smoking rooms,Family rooms","Hotel ""Philoxenia Hotel"" 4* is just one hour from Thessaloniki, inside a pine forest and just 150 meters from the sea, a modern design complex of bungalows offers you the ideal choice for calm holidays with quick excursions to nearby locations.",Philoxenia Hotel,
"Free parking,Free High Speed Internet (WiFi),Outdoor pool,Yoga classes,Free breakfast,Bicycle rental,Bicycles available,Children's television networks,Secured parking,Wifi,Pool / beach towels,Heated pool,Shallow end in pool,Breakfast available,Breakfast in the room,Complimentary Instant Coffee,Complimentary welcome drink,Outdoor dining area,Wine / champagne,Boating,Game room,Aerobics offsite,Patio,Raquetball offsite,Walking tours,Airport transportation,Shuttle bus service,Car hire,Taxi service,Business Center with Internet Access,Meeting rooms,Head massage,24-hour security,Baggage storage,Chapel / shrine,Concierge,Currency exchange,Newspaper,Non-smoking hotel,Outdoor furniture,Sun deck,Sun terrace,Sun umbrellas,Doorperson,First aid kit,Umbrella,24-hour front desk,Express check-in / check-out,Clothes dryer,Dry cleaning,Laundry service,Washing machine,Ironing service,Blackout curtains,Air conditioning,Desk,Housekeeping,Coffee / tea maker,Flatscreen TV,Sofa bed,Walk-in shower,Safe,Seating area,Telephone,Bottled water,Private bathrooms,Wake-up service / alarm clock,Bath / shower,Complimentary toiletries,Hair dryer,Landmark view,Pool view,Non-smoking rooms,Suites,Family rooms","The Boutique Hotel Orilla del Rio was until the year 1996 a home filled with family warmth, full of love, which was our home. Years later we wanted to open our doors by making our home a place where guests could discover new experiences, and also allow others to feel like home, even when they are far away.Every corner of this boutique hotel is full of important moments and memories, for this reason we have overseen everything in order to make your stay more comfortable.We are located in the safest area of Guayaquil, where you can walk with ease of mind. We invite you to learn more about the services and the rooms we offer.",Casa Garcia Hotel,
"Free parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Bar / lounge,Airport transportation,Business Center with Internet Access,Conference facilities,Salon,Parking garage,Wifi,Fitness / spa locker rooms,Sauna,Restaurant,Breakfast buffet,Breakfast in the room,Snack bar,Special diet menus,Shuttle bus service,Banquet room,Meeting rooms,Baggage storage,Concierge,Newspaper,Non-smoking hotel,Shops,ATM on site,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Air conditioning,Room service,Safe,VIP room facilities,Flatscreen TV,Landmark view,Bridal suite,Non-smoking rooms,Suites,Family rooms",,Unipark Hotel," 19,377, 26,814, 20,111"
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Kids stay free,Free airport transportation,Business Center with Internet Access,Parking garage,Wifi,Outdoor pool,Heated pool,Fitness / spa locker rooms,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Complimentary welcome drink,Happy hour,Kid-friendly buffet,Airport transportation,Shuttle bus service,Taxi service,Conference facilities,Banquet room,Meeting rooms,Spa,Facial treatments,Hammam,Massage,Salon,Solarium,Steam room,Rooftop terrace,Baggage storage,Concierge,Non-smoking hotel,Shops,Butler service,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Shoeshine,Air conditioning,Interconnected rooms available,Room service,Safe,Minibar,Flatscreen TV,Bridal suite,Non-smoking rooms,Suites,Family rooms,Smoking rooms available","Oro Verde Guayaquil, offers an exquisite combination of European experience and Ecuadorian hospitality. Our full-service, downtown hotel offers the ultimate in sophistication and comfort for business and leisure travelers alike. Our hotel's superb location in the Guayaquil commercial and financial district means you are within walking distance of popular tourist attractions, entertainment and shopping as well as cultural and historical sites. The hotel is also just a quick eight-minute drive from the airport and offers complimentary transfers.",Oro Verde Guayaquil," 25,745, 35,753, 26,814"
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Free airport transportation,Business Center with Internet Access,Conference facilities,Parking garage,Wifi,Pool / beach towels,Rooftop pool,Outdoor pool,Heated pool,Fitness / spa locker rooms,Sauna,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Poolside bar,Rooftop bar,Free shuttle or taxi services,Airport transportation,Taxi service,Banquet room,Meeting rooms,Couples massage,Facial treatments,Massage,Solarium,Steam room,Rooftop terrace,24-hour security,Baggage storage,Concierge,Non-smoking hotel,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Shoeshine,Allergy-free room,Air conditioning,Room service,Safe,Minibar,Flatscreen TV,Bridal suite,Non-smoking rooms,Suites,Family rooms","Located 4.8 Km (3 miles) away from Jose Joaquin de Olmedo International Airport, right next to the majestic Guayas River. The historical Santa Ana Hill and its famous Lighthouse, the amazing Malecon 2000 and the traditional Barrio Las Penas, are within a few minutes walking distance. It features a rooftop swimming pool, spa and a fitness center equipped with jacuzzis, steam bath, sauna and gym. Buffet breakfast is served daily at Rio Grande restaurant where you can enjoy a memorable river view.",Wyndham Guayaquil," 33,607, 24,183"
"Free parking,Free High Speed Internet (WiFi),Pool,Bar / lounge,Walking tours,Kids stay free,Children's television networks,Pets Allowed ( Dog / Pet Friendly ),Parking garage,Pool / beach towels,Infinity pool,Rooftop pool,Pool with view,Outdoor pool,Heated pool,Shallow end in pool,Fence around pool,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Complimentary Instant Coffee,Complimentary tea,Snack bar,Wine / champagne,Poolside bar,Rooftop bar,Airport transportation,Taxi service,Business Center with Internet Access,Conference facilities,Banquet room,Meeting rooms,24-hour security,Baggage storage,Convenience store,Non-smoking hotel,Outdoor furniture,Sun deck,Sun terrace,Sun umbrellas,ATM on site,First aid kit,Umbrella,24-hour check-in,24-hour front desk,Laundry service,Washing machine,Ironing service,Allergy-free room,Blackout curtains,Air conditioning,Desk,Coffee / tea maker,Cable / satellite TV,Extra long beds,Walk-in shower,Housekeeping,Interconnected rooms available,Room service,Safe,Seating area,Sofa,Telephone,Wardrobe / closet,Bottled water,Clothes rack,Iron,Laptop safe,Private bathrooms,Tile / marble floor,Wake-up service / alarm clock,Refrigerator,Flatscreen TV,Sofa bed,Bath / shower,Complimentary toiletries,Hair dryer,Mountain view,City view,Landmark view,Non-smoking rooms,Suites,Family rooms","Located in Guayaquil, in front of Malecon 2000, River Garden Hotel + Suites provides accommodation with a restaurant, free private parking, a fitness centre and a bar. Featuring family rooms, this property also provides guests with a terrace. The accommodation offers a 24-hour front desk, a concierge service and organising tours for guests. At the hotel, each room is equipped with a wardrobe. At River Garden Hotel + Suites each room comes with a desk and a private bathroom. Guests at the accommodation can enjoy a continental or a buffet breakfast. River Garden Hotel + Suites offers a hot tub. Popular points of interest near the hotel include Saint Francis Church, Artisan Market Guayaquil and Botanical Garden. The nearest airport is José Joaquín de Olmedo International, 4 km from River Garden Hotel + Suites. The hotel offers in-out airport transportation as long as you request in advance.",River Garden Hotel & Suites," 26,153, 28,606, 35,613"
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Free breakfast,Free airport transportation,Business Center with Internet Access,Conference facilities,Secured parking,Wifi,Pool / beach towels,Pool with view,Outdoor pool,Bar / lounge,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Complimentary tea,Kids' meals,Special diet menus,Taxi service,Banquet room,Meeting rooms,Baggage storage,Executive lounge access,Newspaper,Non-smoking hotel,Sun loungers / beach chairs,Sun terrace,Sun umbrellas,Umbrella,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Soundproof rooms,Air conditioning,Desk,Housekeeping,Room service,Coffee / tea maker,Cable / satellite TV,Bath / shower,Safe,Wardrobe / closet,Bottled water,Wake-up service / alarm clock,Refrigerator,Flatscreen TV,Radio,iPod docking station,City view,Pool view,Bridal suite,Non-smoking rooms,Suites,Family rooms","Situated on the north side of Guayaquil with quick access to shopping, medical offices and the airport, Radisson Hotel Guayaquil offers an ideal location for business travelers and vacationers. Take our free airport shuttle to the hotel, where you can refresh with a workout in our fitness center or a swim in the outdoor pool. Tour nearby Las Peñas and the art galleries at Santa Ana Hill, and then return for dining at our on-site Mangle Restaurant.",Radisson Hotel Guayaquil," 26,886, 24,315, 22,614"
"Free parking,Free High Speed Internet (WiFi),Restaurant,Kids stay free,Airport transportation,Photo copier / fax In business center,24-hour security,Baggage storage,Valet parking,Wifi,Concierge,Non-smoking hotel,24-hour check-in,24-hour front desk,Laundry service,Ironing service,Air conditioning,Room service,Clothes rack,Private bathrooms,Wake-up service / alarm clock,Bath / shower,Complimentary toiletries,Non-smoking rooms,Suites,Family rooms","WHAT YOU WERE LOOKING FOR ! We are located in front of the Jose Joaquin de Olmedo airport in the city of Guayaquil , behind Esmeraldas Transport",Hostal Posada Del Sol," 10,940"
"Valet parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Free breakfast,Billiards,Business Center with Internet Access,Conference facilities,Paid private parking on-site,Wifi,Pool / beach towels,Outdoor pool,Heated pool,Breakfast available,Breakfast buffet,Meeting rooms,BBQ facilities,Baggage storage,Concierge,Convenience store,Non-smoking hotel,Outdoor furniture,Shared lounge / TV area,Sun terrace,ATM on site,24-hour front desk,Dry cleaning,Laundry service,Self-serve laundry,Air conditioning,Housekeeping,Room service,Safe,Iron,Kitchenette,Microwave,Flatscreen TV,Wake-up service / alarm clock,Refrigerator,Non-smoking rooms,Suites,Family rooms,Smoking rooms available",,Homewood Suites by Hilton New Orleans French Quarter," 38,353, 38,348, 38,353"
"Free parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Free breakfast,Game room,Free airport transportation,Business Center with Internet Access,Conference facilities,Parking,Wifi,Restaurant,Breakfast available,Breakfast buffet,Vending machine,Free shuttle or taxi services,Airport transportation,Shuttle bus service,Car hire,Meeting rooms,Baggage storage,Gift shop,Non-smoking hotel,Shops,ATM on site,24-hour front desk,Express check-in / check-out,Laundry service,Self-serve laundry,Air conditioning,Housekeeping,Safe,Telephone,Wake-up service / alarm clock,Flatscreen TV,Non-smoking rooms,Suites",,Clarion Inn  & Suites Miami Airport," 39,355, 41,663, 37,546"
"Free parking,Free High Speed Internet (WiFi),Pool,Bar / lounge,Bicycle rental,Boating,Children Activities (Kid / Family Friendly),Free shuttle or taxi services,Parking,Wifi,Hot tub,Outdoor pool,Heated pool,Restaurant,Breakfast available,Breakfast buffet,Canoeing,Golf course,Hiking,Mini golf,Ski rentals,Ski school,Skiing,Water sport equipment rentals,Bicycle tours,Fishing,Table tennis,Walking tours,Board games / puzzles,Business Center with Internet Access,Conference facilities,Banquet room,Meeting rooms,Spa,Body wrap,Couples massage,Facial treatments,Foot bath,Foot massage,Full body massage,Hand massage,Makeup services,Manicure,Massage,Massage chair,Neck massage,Pedicure,Salon,Steam room,24-hour security,Chapel / shrine,Convenience store,Executive lounge access,Gift shop,Non-smoking hotel,Outdoor fireplace,Outdoor furniture,Picnic area,Shops,Sun deck,Sun loungers / beach chairs,Sun umbrellas,Doorperson,First aid kit,Umbrella,24-hour front desk,Dry cleaning,Laundry service,Housekeeping,Private balcony,Room service,Safe,Flatscreen TV,Non-smoking rooms,Suites,Family rooms","Escape the everyday all year long. Callaway Resort & Gardens offers four seasons of adventure, relaxation, and fun in Mother Nature's breathtaking landscape.",The Lodge and Spa at Callaway Gardens,
"Electric vehicle charging station,Free High Speed Internet (WiFi),Bar / lounge,Bicycle rental,Bicycles available,Children's television networks,Highchairs available,Pets Allowed ( Dog / Pet Friendly ),Free public parking nearby,Valet parking,Paid public parking nearby,Wifi,Breakfast available,Breakfast in the room,Complimentary Instant Coffee,Complimentary welcome drink,Happy hour,Outdoor dining area,Special diet menus,Wine / champagne,Aerobics offsite,Bowling offsite,Canoeing offsite,Evening entertainment,Patio,Tennis court offsite,Board games / puzzles,Conference facilities,Banquet room,Meeting rooms,Baggage storage,Concierge,Convenience store,Newspaper,Non-smoking hotel,Outdoor furniture,ATM on site,Doorperson,First aid kit,Umbrella,24-hour check-in,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Shoeshine,Allergy-free room,Blackout curtains,Air conditioning,Desk,Coffee / tea maker,Cable / satellite TV,Sofa bed,Bidet,Soundproof rooms,Air purifier,Bathrobes,Housekeeping,Safe,Seating area,Separate living room,Sofa,Telephone,VIP room facilities,Wardrobe / closet,Bottled water,Clothes rack,Iron,Tile / marble floor,Wake-up service / alarm clock,Minibar,Refrigerator,Flatscreen TV,Radio,iPod docking station,Walk-in shower,Whirlpool bathtub,Bath / shower,Complimentary toiletries,Hair dryer,City view,Non-smoking rooms,Suites","The Adelphi Hotel is an excellent choice for savvy travelers visiting Saratoga Springs, offering a luxury environment with dedicated and personable staff alongside many helpful amenities designed to enhance your stay. The recently renovated hotel offers rooms and suites with minibars which include anything from currently necessary sanitizing products to house made snacks and beverages, flat screen smart TVs, air conditioning, complimentary WiFi and more. The rooms are magnificently appointed, featuring the signature 5-fixture bathroom with heated floors, mirrors and towel racks along with Toto toilets and Italian robes and slippers. You will enjoy the best sleep of your life on the most comfortable beds. The hotel features two remarkable dining options: Salt & Char is the outstanding upscale American steakhouse with a contemporary metropolitan ambiance, located in the Van Dam building just next door. Morrissey's Lounge & Bistro combined The Blue Hen and Morrissey's into one restaurant with 3 distinctly desirable seating areas and all of the many favorite dishes so guests can always have what they want, where they want it, even by way of Room Service. There is no shortage of things to do in the area: indulge in one of the numerous spas or mineral baths, enjoy the nightlife, attend a concert at SPAC or Caffe Lena, visit one of the many museums, tour the Springs that Saratoga is famous for, take in the gorgeous Victorian architecture around town or explore popular art galleries such as Saratoga Paint and Sip Studio, Saratoga Arts and Crafters Gallery and more! Enjoy your stay in Saratoga Springs!",The Adelphi Hotel," 92,599, 92,599, 92,612"
"Free parking,Free High Speed Internet (WiFi),Pool,Free breakfast,Kids stay free,Taxi service,BBQ facilities,Convenience store,Parking,Wifi,Heated pool,Breakfast available,Breakfast buffet,Kid-friendly buffet,Non-smoking hotel,Shared lounge / TV area,Sun loungers / beach chairs,ATM on site,First aid kit,Blackout curtains,Air conditioning,Desk,Housekeeping,Safe,Microwave,Cable / satellite TV,Bath / shower,Telephone,Iron,Laptop safe,Wake-up service / alarm clock,Refrigerator,Flatscreen TV,Complimentary toiletries,Hair dryer,Non-smoking rooms",,Developer Inn Highway," 23,757, 19,256"
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Free breakfast,Beach,Tennis court,Airport transportation,Parking,Wifi,Pool / beach towels,Infinity pool,Pool with view,Adult pool,Outdoor pool,Shallow end in pool,Fitness classes,Personal trainer,Bar / lounge,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Complimentary welcome drink,Snack bar,Special diet menus,Wine / champagne,Swimup bar,Poolside bar,Aerobics,Billiards,Bowling offsite,Darts,Entertainment staff,Evening entertainment,Karaoke,Patio,Table tennis,Board games / puzzles,Nightclub / DJ,Taxi service,Meeting rooms,Couples massage,Full body massage,Massage,Massage chair,Adults only,24-hour security,Baggage storage,Concierge,Currency exchange,Gift shop,Outdoor furniture,Sun loungers / beach chairs,Sun umbrellas,Doorperson,Infirmary,Umbrella,24-hour check-in,24-hour front desk,Private check-in / check-out,Clothes dryer,Laundry service,Ironing service,Allergy-free room,Blackout curtains,Air conditioning,Desk,Coffee / tea maker,Cable / satellite TV,Extra long beds,Bath / shower,Housekeeping,Interconnected rooms available,Private balcony,Safe,Telephone,VIP room facilities,Wardrobe / closet,Bottled water,Clothes rack,Iron,Private bathrooms,Tile / marble floor,Wake-up service / alarm clock,Minibar,Flatscreen TV,iPod docking station,Complimentary toiletries,Hair dryer,Ocean view,Pool view,Non-smoking rooms,Suites",,Valentin Cayo Cruz,
"Free parking,Free internet,Pool,Fitness Center with Gym / Workout Room,Free breakfast,Beach,Water park,Kids stay free,Parking,Wifi,Pool / beach towels,Infinity pool,Pool with view,Indoor pool,Outdoor pool,Yoga classes,Fitness / spa locker rooms,Fitness classes,Sauna,Bar / lounge,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Complimentary Instant Coffee,Complimentary tea,Complimentary welcome drink,Kid-friendly buffet,Kids' meals,Outdoor dining area,Snack bar,Special diet menus,Wine / champagne,Poolside bar,Aerobics,Billiards,Darts,Entertainment staff,Evening entertainment,Karaoke,Patio,Table tennis,Waterslide,Board games / puzzles,Nightclub / DJ,Babysitting,Children's television networks,Indoor play area for children,Children Activities (Kid / Family Friendly),Kids club,Kids pool,Kids' outdoor play equipment,Highchairs available,Strollers,Airport transportation,Car hire,Taxi service,Business Center with Internet Access,Conference facilities,Banquet room,Meeting rooms,Spa,Body wrap,Couples massage,Facial treatments,Foot bath,Foot massage,Full body massage,Hammam,Hand massage,Head massage,Massage,Neck massage,Salon,Steam room,Rooftop terrace,24-hour security,Baggage storage,Concierge,Convenience store,Gift shop,Shops,Sun deck,Sun loungers / beach chairs,Sun umbrellas,Butler service,Doorperson,First aid kit,Infirmary,Umbrella,24-hour front desk,Private check-in / check-out,Laundry service,Ironing service,Air conditioning,Private beach,Desk,Housekeeping,Coffee / tea maker,Flatscreen TV,Sofa bed,Walk-in shower,Interconnected rooms available,Private balcony,Room service,Safe,Seating area,Separate dining area,Separate living room,Sofa,Telephone,VIP room facilities,Wardrobe / closet,Bottled water,Clothes rack,Minibar,Electric kettle,Whirlpool bathtub,Bath / shower,Complimentary toiletries,Hair dryer,Mountain view,Ocean view,City view,Pool view,Non-smoking rooms,Suites,Family rooms",,La Blanche Island Bodrum,
"Free parking,Free internet,Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Beach,Boating,Babysitting,Electric vehicle charging station,Valet parking,Wifi,Paid wifi,Hot tub,Pool / beach towels,Pool with view,Outdoor pool,Shallow end in pool,Fitness / spa locker rooms,Fitness classes,Sauna,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Complimentary Instant Coffee,Happy hour,Kid-friendly buffet,Kids' meals,Outdoor dining area,Snack bar,Special diet menus,Swimup bar,Poolside bar,Canoeing,Entertainment staff,Evening entertainment,Indoor play area for children,Kids club,Kids pool,Kids' outdoor play equipment,Airport transportation,Shuttle bus service,Car hire,Taxi service,Conference facilities,Banquet room,Meeting rooms,Facial treatments,Makeup services,Manicure,Pedicure,Salon,Steam room,24-hour security,Baggage storage,Concierge,Currency exchange,Executive lounge access,Gift shop,Shops,Sun loungers / beach chairs,Sun umbrellas,ATM on site,Butler service,Doorperson,First aid kit,24-hour check-in,24-hour front desk,Express check-in / check-out,Private check-in / check-out,Clothes dryer,Dry cleaning,Laundry service,Ironing service,Shoeshine,Allergy-free room,Blackout curtains,Air conditioning,Private beach,Desk,Minibar,Cable / satellite TV,Bidet,Bathrobes,Housekeeping,Interconnected rooms available,Room service,Safe,Seating area,Telephone,VIP room facilities,Wardrobe / closet,Iron,Wake-up service / alarm clock,Refrigerator,Electric kettle,Flatscreen TV,Walk-in shower,Bath / shower,Complimentary toiletries,Hair dryer,Ocean view,City view,Landmark view,Bridal suite,Non-smoking rooms,Suites,Family rooms,Smoking rooms available,Pool view","Fairmont Bab Al Bahr boasts a prime location at the mainland gateway to the cosmopolitan city of Abu Dhabi. With its striking, contemporary design, this beachfront hotel offers the highest level of comfort and elegance throughout its 366 rooms and suites. Guests can enjoy world class on-site amenities, including private sandy beaches, an Olympic-length swimming pool, covered children’s pool, separate ladies’ and mixed-use gyms, business services and state-of-the-art conference facilities. Add to this an awarding winning portfolio of eight dining options; all delivered with genuine Arabic hospitality - the result is certain to exceed every guest’s highest expectation.",Fairmont Bab Al Bahr," 65,705, 65,710, 65,720"
